,0.5-0.75,0.75-1.25,1.25-1.75,1.75-2.25,2.25-3.25,3.25-3.75,3.75-4.25,4.25-5.25,5.25-6.25,6.25-6.75,6.75-7.75,7.75-8.25,8.25-9.25,9.25-10.25,10.25-11.75,11.75-13.25,13.25-15.25,15.25-17.25,17.25-20.25,20.25-24.25,24.25-31.75,31.75-80
'Middle frontal gyrus',0.0,0.9879766332745882,0.7806647724239075,0.8934905499293241,0.9468318594277393,0.965984364236303,0.6868999663510706,0.09438561398242165,0.3019187790462524,0.7693233961114283,0.8186785001971887,0.9897382037375357,0.9631290509622329,0.97586317309983,0.9091300563074952,0.4561317859528688,0.0,0.0,0.40263003895268373,0.8213965518389084,0.7407228458622467,0.038899881995020036
'Opercular part of inferior frontal gyrus',0.0,0.9823581671181506,0.7820240689513477,0.843314962506675,0.7786376318224159,0.9814613745751171,0.6927037748882836,0.4324156192274174,0.34463956114480315,0.5890620047236723,0.6877516956805036,0.8919769015545616,0.9437855232823152,0.9749397615687292,0.9471058765880204,0.21276888406864883,0.0,0.0,0.08402025940151076,0.5834737921734008,0.762598741307693,0.06967575143415808
'Orbital part of inferior frontal gyrus',0.10992016926843984,0.9779046102925923,0.9345925368844752,0.9931722848975946,0.8898603725240817,0.9209892015273008,0.850625248464824,0.32964138830185225,0.5286415718046142,0.9292214116536877,0.820002037481119,0.9744526373492366,0.8804601692532988,0.9220243689981377,0.9004040925684269,0.6724105855500885,0.23209900823632423,0.253253869103687,0.6222378879863434,0.6944128233180655,0.7831983515249914,0.06172879819827857
'Precentral gyrus',0.9307192124483898,0.3064270965272129,0.1298776437942372,0.37159794050061823,0.7642617231871937,0.9830073475217059,0.9820608374845778,0.8634088058874825,0.7055173822914237,0.7902315256061382,0.8748138577311972,0.9781527614030033,0.9570515066270657,0.942053343050582,0.916779170529024,0.7997694799362824,0.1944115142718563,0.10690262407785851,0.5449120221866184,0.8831133861277082,0.7476955284422344,0.1663756477850827
'Superior frontal gyrus and frontal pole',0.0,0.9829185353024313,0.7287244701913116,0.8964885104387236,0.9095624516080482,0.9871303854004273,0.9103610781434095,0.5509420485441205,0.4210392833892075,0.8446520001576114,0.8158326234811404,0.9880137371471195,0.8685527478534498,0.83380365494643,0.7577343971773138,0.7725393900187113,0.3803523685054578,0.417084646627301,0.869575054049628,0.9033645447976686,0.8274853514055611,0.4066447719529668
'Supplementary motor cortex',0.0,0.9155195350392603,0.6544638711593982,0.890931536881938,0.847310485559851,0.9886364445757572,0.9769180683818955,0.5761544284782457,0.791275640942071,0.9609338496474504,0.8450009632440703,0.9437657532669348,0.8481579881586777,0.8163005592819401,0.7045690866991462,0.8371705792701308,0.7516575736725473,0.651289371782732,0.868902954009134,0.8607980581084249,0.8433156387263085,0.5640649968841116
'Triangular part of inferior frontal gyrus',0.0,0.9492393676830622,0.8518947039725877,0.5083957224844627,0.8088496071963526,0.9732759244390362,0.48184971844961877,0.0,0.0,0.0,0.46678450437437535,0.9130958892685929,0.9273911123937115,0.9407930087551987,0.9199956121762415,0.32285494896995776,0.0,0.04761637367881872,0.5512564466083946,0.8451366545157697,0.7006918356253105,0.009846276063167994
'Amygdala',0.0,0.8250350765811275,0.9611896284287428,0.8771681185464335,0.8643865951777189,0.6912513354002586,0.05860884021789548,0.24277037005136684,0.5400537045877252,0.93377825375154,0.8397463289851662,0.9115831819362172,0.915019000322208,0.5204084624527282,0.5259108311168474,0.3386034510251839,0.8164147035810867,0.7756824782120203,0.6768359913588291,0.12204542263129203,0.31849397385269357,0.17217992039716518
'Fusiform and parahippocampal gyri',0.0,0.8708727722514001,0.9099102101378767,0.9788647207897354,0.9354888222009875,0.9805359063451153,0.6506179446166016,0.013437736693289808,0.0,0.0,0.0,0.3909111772481318,0.7957432436296584,0.9686339495607128,0.9526676093850758,0.9001126002948311,0.8779875618850831,0.8542509923354438,0.49256102083904574,0.07849127339684117,0.04319159713742105,0.0858183310134298
'Hippocampus',0.0,0.0,0.27501987593840116,0.08093751831451676,0.2652068033958988,0.6892783876047797,0.7276237072880286,0.4937082726966142,0.8115650345835418,0.9724219007062775,0.6013421150637326,0.8722840819313803,0.730683739940084,0.593624029032061,0.4874173420690072,0.2295481246409017,0.7492975416383455,0.8306449406235725,0.11619640993781567,0.0,0.001868486521327173,0.1295131872411454
'Inferior temporal gyrus',0.0,0.9666586615461545,0.8746589792591697,0.9789687556982809,0.8625264761045375,0.8635507024607242,0.8566177871483481,0.057398301170734786,0.0,0.0,0.0,0.6616570580343534,0.9226003868153392,0.9667936514381261,0.9361148329543725,0.7402943911040927,0.7096743914405125,0.8189081805195492,0.5314735704475168,0.22333817736272601,0.07002789001825252,0.0007259998241547105
