ID,channel,offset,exponent,knee,error_mae,gof_rsquared,dataset
120,GD007Rf9,8.351896798850898,4.886375430689943,3115598.363050504,0.07954516294752366,0.9909452457732117,iEEG atlas
121,GD007Rf14,9.197225671525018,5.465401984794036,9641530.003298555,0.08672843878853284,0.9912051657893154,iEEG atlas
122,GD007Rb1,8.82197459287087,5.086708946893421,32751214.255061485,0.10196789929651451,0.9764890428543899,iEEG atlas
123,GD007Rb2,9.000508359526316,5.212396626099121,78033196.53627816,0.07661576120866732,0.9888244221463288,iEEG atlas
124,GD007Rb3,8.589071020588113,5.038237363923681,14383677.418278964,0.06749675746214522,0.9926602983221416,iEEG atlas
125,GD007Rb7,10.293917509490885,5.919572739618922,492938458.9662544,0.08355661864169528,0.9890705187713221,iEEG atlas
126,GD007Rb8,10.022077100879319,5.569824580698007,197715051.49157965,0.11217274513819711,0.9769013411386553,iEEG atlas
127,GD007Rb9,10.213121867062716,5.7110002262951935,542838409.2715585,0.08512303433418132,0.9828284654180425,iEEG atlas
128,GD008Lb_1,3.301879977733904,2.113974842667383,9.88134541508894,0.057547582167098855,0.990450094163775,iEEG atlas
129,GD008Lb_2,4.493886018582026,2.6291311294199913,68.42001952579017,0.0930539513920298,0.9831662636347109,iEEG atlas
130,GD008Lb_3,4.029820575955401,2.2779483057120187,20.898556959291707,0.09375565997952544,0.977444582343085,iEEG atlas
131,GD008Lb_14,6.326493834818974,4.422273945212766,52809.08177856982,0.12799178917165221,0.9831649323368888,iEEG atlas
132,GD008Lf_1,3.1530316264951166,2.462987469505243,102.80144313796531,0.08615307272004795,0.9757316280675206,iEEG atlas
133,GD008Lf_2,3.0454873218778347,2.665046212113951,269.58068994351663,0.0929195100941779,0.9778452827347589,iEEG atlas
134,GD008Lf_3,2.8320890029581864,2.3971836808000258,137.31146634220812,0.08239101391806862,0.9756909123013512,iEEG atlas
135,GD008Lf_9,4.9445798925116256,3.2026916084684753,1664.6161276411312,0.09339688514766155,0.9805267093583936,iEEG atlas
136,GD008Lf_12,4.896358233622377,3.4207954726870193,10715.113625563523,0.08089138740364579,0.9824874832546489,iEEG atlas
137,GD008Le_5,5.354592659046354,3.4682792187681644,24217.659685781487,0.06941224270066147,0.9864760176111922,iEEG atlas
138,GD008Le_6,5.456726122870375,3.489534715840125,15722.706860341168,0.06760210973253289,0.991209405898711,iEEG atlas
139,GD008Lq_5,6.760796099216098,4.464576008567718,257831.10196263943,0.14972948609682615,0.9648457381756307,iEEG atlas
140,GD008Lz_1,3.9924186958097514,2.6412920910022373,432.84460034811246,0.10949367214208287,0.965321016762773,iEEG atlas
141,GD008Lz_2,4.002021369775763,2.8392387665731422,738.8911711427485,0.10242604232488002,0.9705917478857355,iEEG atlas
142,GD008Lz_3,3.864772699921275,3.0702466802389106,1238.8728354004506,0.09002802305948923,0.9817836622005895,iEEG atlas
143,GD008Lz_4,4.1557012312826656,3.1231019518451983,4469.670505460914,0.07323616723356864,0.9850350675552523,iEEG atlas
144,GD008Lm_1,2.7726729878627485,2.2305705590523286,11.571284250095479,0.11563410321888908,0.970112327298385,iEEG atlas
145,GD008Lm_2,4.081042051551747,2.7694200091191803,305.2658840653229,0.10441528077841274,0.9719522526230567,iEEG atlas
146,GD008Lm_3,3.634344666701531,2.609752705386621,85.71456757403975,0.12049954239838988,0.9680647198488613,iEEG atlas
147,GD008Ln_1,4.653621659945442,2.9257562878074297,2547.626122051371,0.056207762886143785,0.9899900822978422,iEEG atlas
148,GD008Ln_2,4.862557723758013,3.086605873739026,3465.0489388495866,0.06319873410550716,0.9900391747936189,iEEG atlas
