ID,channel,offset,exponent,error_mae,gof_rsquared,dataset
22,dataset01_12R,-2.448894676592057,1.4608819576945693,0.041841667820707855,0.9936163234432492,source HD-EEG
23,dataset01_12L,-2.7658115801138785,1.4402876192086802,0.06929868645176926,0.9840558479151544,source HD-EEG
24,dataset01_13R,-2.6686908179889555,0.9457136288404154,0.052064436066332764,0.9710189771399723,source HD-EEG
25,dataset01_13L,-2.6752797059947215,0.7373777280098109,0.06901006877696846,0.9129025697345751,source HD-EEG
26,dataset01_14R,-3.3580363677106253,1.1134423631466472,0.08634467893046091,0.9616337481818269,source HD-EEG
27,dataset01_14L,-2.5493144161678805,0.9889801126640297,0.059430764595553374,0.9607174078571892,source HD-EEG
28,dataset01_15R,-1.7731934451199531,1.0426208997109991,0.04873628719169684,0.9792597381461857,source HD-EEG
29,dataset01_15L,-2.1699220261089915,0.8719881120774183,0.10292692196152162,0.9055842111619784,source HD-EEG
30,dataset01_16R,-2.6242344299200817,1.195874723417952,0.055841112139437474,0.9803763113132352,source HD-EEG
31,dataset01_16L,-2.5375739502519483,1.0494962781909722,0.07811307345560926,0.9496458968210475,source HD-EEG
32,dataset01_17R,-2.21044093795838,1.375601039171569,0.047633613702690716,0.9916110958757206,source HD-EEG
33,dataset01_17L,-2.6551248860138603,1.2561085957727829,0.05784845569056532,0.9872213066007479,source HD-EEG
34,dataset01_18R,-2.292987284916741,1.3298437541964796,0.0390860938863544,0.9934296821712303,source HD-EEG
35,dataset01_18L,-2.5353150261360113,1.1893963074699614,0.05632135752339295,0.9858732230585273,source HD-EEG
36,dataset01_19R,-1.7138627714225898,1.1220812251312284,0.04860407252206631,0.9832068625947149,source HD-EEG
37,dataset01_19L,-1.8913333823534322,1.0137200722427908,0.054162388443095684,0.9674406751328545,source HD-EEG
38,dataset01_20R,-2.9838160340986963,1.0589128721051009,0.07855810562682615,0.9640770932122011,source HD-EEG
39,dataset01_20L,-3.3480606107785,1.0131763915620577,0.1016641285807849,0.930698873106515,source HD-EEG
40,dataset01_21R,-2.7663331186085633,0.9337417486404997,0.0615467496801822,0.9504052027798059,source HD-EEG
41,dataset01_21L,-2.637709005219189,0.6978899203368477,0.08041491197331345,0.8614521044777461,source HD-EEG
42,dataset01_22R,-2.6096632006668834,1.0496964657755397,0.1043368766084633,0.9130122460522458,source HD-EEG
43,dataset01_22L,-3.1167568816186435,0.6343090096630704,0.10519096785667709,0.7987788310807197,source HD-EEG
44,dataset01_23R,-2.296169654727384,0.9962444958698684,0.08341850882549497,0.9255640902544777,source HD-EEG
45,dataset01_23L,-3.091886883038094,0.4341288653673228,0.08738102694642909,0.8218072535407283,source HD-EEG
46,dataset01_24R,-3.0272484391041754,0.8553613926141976,0.05738470189104074,0.9491163526972892,source HD-EEG
47,dataset01_24L,-2.256049331612055,0.6436189474721858,0.06866957159425822,0.8939796878441524,source HD-EEG
48,dataset01_25R,-2.8385696288935907,0.8661477568762298,0.052203423053229586,0.9583099547358856,source HD-EEG
49,dataset01_25L,-3.0089165533667144,0.9103487345367169,0.06876423918499067,0.9284189635966942,source HD-EEG
50,dataset01_26R,-2.369407824053039,1.2096801937148414,0.06389897379036108,0.9771695419444956,source HD-EEG
51,dataset01_26L,-2.6285980833373905,1.2626830456592248,0.050130821176770785,0.9901059156599417,source HD-EEG
52,dataset01_27R,-2.708510915636541,1.2111643554855953,0.05561573690724275,0.9775149421372377,source HD-EEG
53,dataset01_27L,-2.3652662219223024,1.1047672075165842,0.057131490370866435,0.966481493670931,source HD-EEG
54,dataset01_28R,-2.725556710401795,1.3384327254624897,0.08303169559346159,0.9764819918061681,source HD-EEG
55,dataset01_28L,-2.694128215279778,1.2312430217939887,0.08039442295203453,0.9785332497390586,source HD-EEG
56,dataset01_29R,-2.8275181687510647,1.1595841590342848,0.07637134600479752,0.9685222431547075,source HD-EEG
57,dataset01_29L,-2.8312613037914036,1.072271466609257,0.08320936735698606,0.9532966864239074,source HD-EEG
