,0.5-0.75,0.75-1.25,1.25-1.75,1.75-2.25,2.25-3.25,3.25-3.75,3.75-4.25,4.25-5.25,5.25-6.25,6.25-6.75,6.75-7.75,7.75-8.25,8.25-9.25,9.25-10.25,10.25-11.75,11.75-13.25,13.25-15.25,15.25-17.25,17.25-20.25,20.25-24.25,24.25-31.75,31.75-80
'Medial segment of superior frontal gyrus',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2988752748938142,0.2807614363463808,0.34441178527792404
'Middle cingulate',,0.03161305034910624,0.25500544233128725,0.3390511778701349,0.2699972114860162,0.008415705120882612,0.0,0.01310213714897822,0.10558926982064412,0.0,0.0,0.0,0.0,0.0,0.0,0.24843955084842217,0.0,0.014405108846945538,0.023889943811441657,0.0369315915624899,0.0883965456096523,0.5097283971326858
'Middle frontal gyrus',,0.0,0.40310451579919937,0.21462821175657318,0.37041864031091054,0.2213819224210869,0.0,0.0,0.0,0.005094461855251496,0.026970468181268907,0.0,0.0,0.0,0.0,0.03477317804661903,0.0,0.0,0.0,0.04297872163512685,0.2557447276394572,0.3130086198943568
'Middle temporal gyrus',,0.0,0.0,0.0,0.2053040072016598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1335489391718696,0.09149288005621158,0.09031862257929146,0.42602385861240827,0.010064436887023586,0.0,0.31437598762544217,0.5619760298952492,0.2720298994638221,0.3193823119241574
'Opercular part of inferior frontal gyrus',,0.08134473739973806,0.03430808589057637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18776017632466036
'Orbital part of inferior frontal gyrus',,0.0,0.0,0.0,0.0,0.0,0.0,0.021210813314662784,0.14380654223721762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060035554081204805,0.24120733860190452,0.15614791726939223
'Parietal operculum',,0.0,0.0,0.0,0.1511045859053653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18362433233494552,0.12212120283678907,0.0,0.1891603704727515,0.0,0.0,0.08241926617493447,0.2064794457650071,0.343087837847912,0.41458412700146047
'Planum temporale',,0.0,0.0,0.0,0.03796441135113383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3197227361821098,0.014935071304520021,0.0012672952237679364,0.08657414213669216,0.034712263271972424,0.12211825120648856,0.15686176553822706,0.28672596141146467,0.17290468326701092,0.2845856175382198
'Postcentral gyrus (including medial segment)',,0.0,0.32546014238180904,0.22763842266478962,0.24696884287295773,0.09130412138568128,0.0,0.16519759187198108,0.0,0.0,0.0,0.0,0.37920961379647283,0.23217887366441015,0.0034045447136334967,0.20892462960895797,0.11044596807288057,0.0,0.1782388919379628,0.13095025357712248,0.2572476482133449,0.3562512462266391
'Posterior cingulate',,0.0,0.2252750881349482,0.23055446328498144,0.4657525180551591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01744699952797104,0.35214084644358484,0.4335823620899341
'Posterior insula',,0.0,0.05920190596284081,0.0,0.20646170702568345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14266456914267134,0.008575447118166811,0.05700021679782314,0.38265956696975506,0.0,0.0,0.18891844367530336,0.1635455011800074,0.11657944107155557,0.2654693729996795
'Precentral gyrus',,0.5445628582053347,0.0,0.2427566046458376,0.22815002297264755,0.0,0.0,0.0,0.0,0.0,0.0,0.38914279399882923,0.26193206456325746,0.01711383572023749,0.09822579974142143,0.26447601976811014,0.0,0.0,0.0,0.10320927047479425,0.07463278503293243,0.2971417469574285
'Precuneus',,0.0,0.0,0.0,0.31724446945890594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14039512239295146,0.051505205240417365,0.0,0.0,0.0,0.0,0.0,0.0,0.22010442738632902,0.5909451985712358
'Superior and middle occipital gyri',,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17353171276468055,0.1972195291957712,0.0,0.2239967814898753,0.32143698918752256,0.2678803658658952,0.2565010563408406,0.34143340708095693,0.45019155825811713
'Superior frontal gyrus and frontal pole',,0.0,0.0300323473782275,0.21107052506169108,0.12551948312268174,0.0,0.0,0.0,0.0,0.0,0.019693300184838423,0.0,0.0024912834797463125,0.0,0.0,0.21199184233503643,0.0,0.0,0.16074238388033527,0.27757791323460074,0.4152487188678569,0.3883053008893197
'Superior parietal lobule',,0.0,0.0,0.0,0.2952638084957774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28088854262495905,0.03690561737472761,0.0,0.08809650486530654,0.09559244010062581,0.2529939660526456,0.025952148319992867,0.09826961879146948,0.5415044347256285,0.48968162173148966
